batch=422201 checked=14092928548864 peak_steps=595 suspects=0 gpu=76% temp=75C elapsed=11.1
batch=422251 checked=14093767409664 peak_steps=595 suspects=0 gpu=79% temp=75C elapsed=11.4
batch=422301 checked=14094606270464 peak_steps=595 suspects=0 gpu=78% temp=75C elapsed=11.7
batch=422351 checked=14095445131264 peak_steps=595 suspects=0 gpu=71% temp=76C elapsed=12.0
batch=422401 checked=14096283992064 peak_steps=595 suspects=0 gpu=76% temp=75C elapsed=12.3
batch=422451 checked=14097122852864 peak_steps=595 suspects=0 gpu=75% temp=75C elapsed=12.6
batch=422501 checked=14097961713664 peak_steps=595 suspects=0 gpu=74% temp=76C elapsed=12.9
batch=422551 checked=14098800574464 peak_steps=595 suspects=0 gpu=72% temp=76C elapsed=13.2
batch=422601 checked=14099639435264 peak_steps=595 suspects=0 gpu=74% temp=76C elapsed=13.5
batch=422651 checked=14100478296064 peak_steps=595 suspects=0 gpu=73% temp=76C elapsed=13.8
batch=422701 checked=14101317156864 peak_steps=595 suspects=0 gpu=66% temp=76C elapsed=14.1
batch=422751 checked=14102156017664 peak_steps=595 suspects=0 gpu=74% temp=75C elapsed=14.4
batch=422801 checked=14102994878464 peak_steps=595 suspects=0 gpu=78% temp=75C elapsed=14.7
batch=422851 checked=14103833739264 peak_steps=595 suspects=0 gpu=71% temp=76C elapsed=15.0
batch=422901 checked=14104672600064 peak_steps=595 suspects=0 gpu=76% temp=76C elapsed=15.3
batch=422951 checked=14105511460864 peak_steps=595 suspects=0 gpu=77% temp=76C elapsed=15.6
batch=423001 checked=14106350321664 peak_steps=595 suspects=0 gpu=70% temp=76C elapsed=15.9
batch=423051 checked=14107189182464 peak_steps=595 suspects=0 gpu=78% temp=76C elapsed=16.2
batch=423101 checked=14108028043264 peak_steps=595 suspects=0 gpu=78% temp=76C elapsed=16.5
batch=423151 checked=14108866904064 peak_steps=595 suspects=0 gpu=71% temp=76C elapsed=16.8
batch=423201 checked=14109705764864 peak_steps=595 suspects=0 gpu=63% temp=77C elapsed=17.1
batch=423251 checked=14110544625664 peak_steps=595 suspects=0 gpu=77% temp=76C elapsed=17.4
batch=423301 checked=14111383486464 peak_steps=595 suspects=0 gpu=76% temp=77C elapsed=17.7
batch=423351 checked=14112222347264 peak_steps=595 suspects=0 gpu=77% temp=77C elapsed=18.0
batch=423401 checked=14113061208064 peak_steps=595 suspects=0 gpu=74% temp=77C elapsed=18.3
batch=423451 checked=14113900068864 peak_steps=595 suspects=0 gpu=74% temp=77C elapsed=18.6
batch=423501 checked=14114738929664 peak_steps=595 suspects=0 gpu=71% temp=77C elapsed=18.9
batch=423551 checked=14115577790464 peak_steps=595 suspects=0 gpu=64% temp=77C elapsed=19.2
batch=423601 checked=14116416651264 peak_steps=595 suspects=0 gpu=76% temp=77C elapsed=19.5
batch=423651 checked=14117255512064 peak_steps=595 suspects=0 gpu=70% temp=76C elapsed=19.9
batch=423701 checked=14118094372864 peak_steps=595 suspects=0 gpu=68% temp=77C elapsed=20.2
batch=423751 checked=14118933233664 peak_steps=595 suspects=0 gpu=76% temp=77C elapsed=20.5
batch=423801 checked=14119772094464 peak_steps=595 suspects=0 gpu=76% temp=77C elapsed=20.8
batch=423851 checked=14120610955264 peak_steps=595 suspects=0 gpu=71% temp=77C elapsed=21.1
batch=423901 checked=14121449816064 peak_steps=595 suspects=0 gpu=75% temp=77C elapsed=21.4
batch=423951 checked=14122288676864 peak_steps=595 suspects=0 gpu=78% temp=77C elapsed=21.7
batch=424001 checked=14123127537664 peak_steps=595 suspects=0 gpu=76% temp=77C elapsed=22.0
batch=424051 checked=14123966398464 peak_steps=595 suspects=0 gpu=78% temp=77C elapsed=22.3
batch=424101 checked=14124805259264 peak_steps=595 suspects=0 gpu=75% temp=77C elapsed=22.6
batch=424151 checked=14125644120064 peak_steps=595 suspects=0 gpu=65% temp=77C elapsed=22.9
batch=424201 checked=14126482980864 peak_steps=595 suspects=0 gpu=73% temp=77C elapsed=23.2
